mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480
21.18461538,0.046593407,0.93883452,17.21340206,0.008722912,1.774097709,40.23076923,-0.17032967,3.789323734,56.62886598,-0.03236114,7.128755717,0.915384615,0.010989011,0.395487366,0.805154639,-0.000131759,0.588495811,626.4615385,2.687912088,52.36668054,153.8247423,1.399818536
23.08,0.048,0.38340579,23.08,0.048,0.38340579,35.8,-0.2,1.643167673,35.8,-0.2,1.643167673,0.52,0.026,0.38340579,0.52,0.026,0.38340579,743.8,2.46,19.46021583,743.8,2.46
24.80833333,0.023426992,0.507145906,24.80833333,0.023426992,0.507145906,33.5,-0.033717181,1.314257481,33.5,-0.033717181,1.314257481,0.95,0.012326117,0.427466107,0.95,0.012326117,0.427466107,842.0833333,1.858222018,37.82125024,842.0833333,1.858222018
25.775,0.046,0.309569594,25.775,0.046,0.309569594,30.75,-0.14,1.258305739,30.75,-0.14,1.258305739,0.975,-0.062,0.427200187,0.975,-0.062,0.427200187,910.0,1.48,9.763879011,910.0,1.48
26.2,,,26.2,,,29.0,,,29.0,,,1.8,,,1.8,,,933.0,,,933.0,
26.81666667,0.025594406,0.530580014,26.76923077,0.024175824,0.536010907,28.25,-0.006293706,0.866025404,28.30769231,-0.00989011,0.854850414,1.316666667,-0.008111888,0.593653302,1.315384615,-0.006263736,0.56839856,945.9166667,0.516783217,9.529459904,945.3076923,0.458241758
27.5,,,27.5,,,27.0,,,27.0,,,0.9,,,0.9,,,957.0,,,957.0,
28.0,0.056,0.365148372,28.0,0.056,0.365148372,27.75,-0.1,1.707825128,27.75,-0.1,1.707825128,1.0,0.044,0.583095189,1.0,0.044,0.583095189,955.75,-0.06,0.5,955.75,-0.06
28.075,-0.014,0.125830574,28.075,-0.014,0.125830574,29.0,0.4,2.581988897,29.0,0.4,2.581988897,1.45,0.008,0.435889894,1.45,0.008,0.435889894,944.75,-0.9,5.852349955,944.75,-0.9
27.15714286,-0.022142857,0.257275098,27.15714286,-0.022142857,0.257275098,36.14285714,0.042857143,1.463850109,36.14285714,0.042857143,1.463850109,1.328571429,0.015714286,0.368394199,1.328571429,0.015714286,0.368394199,918.2857143,-0.978571429,10.7349008,918.2857143,-0.978571429
